汽车	整体 位置 感觉 问题 异响 声音 造型 外观 噪音 开关 空间 效果 质量 情况 系统 缝隙 按钮 材料 油耗 舒适性 高度 做工 动力 颜色 尺寸 塑料 线条 时间 距离 大小 样式 角度 时尚 故障 方向 长度 储物 手感 质地 调校 电子 结构 视觉 塑料感 后排 稳定性 性能 科技感 技术 风格 宽度 科技 温度 动感 运动感 优点 性价比 重量 比例 流线 速度 数据 视野 通病 品质 配件 特点 轮廓 中央 织物 车型 视线 垃圾 表面 弹簧 转速 味道 价格 怠速 细节 腰线 刚性 整体性 工艺 品牌 灯光 水平 低速 铁皮 信息 操控性 重心 漆面 密封性 音质 数量 包裹 横向 皮革 实用性 款式 个性 水温 层次 极限 隔音 寿命 多媒体 作用 接缝 指向性 异味 成本 参数 钣金 档次 档位 钢板 氛围 通过性 规格 头部 安全性 级别 状态 平顺性 要求 型号 厂家 液压 回头率 涡轮 车速 尾部 体积 路感 缺点 激光 框架 时速 力度 外壳 好坏 纵向 可靠性 厚重感 构造 灵活性 全景 方向感 肌肉感 方式 基础 动作 影像 磨合期 气味 排量 姿态 省油 腿部 标准 坐姿 轴距 流线型 马力 保有量 声浪 低调 豪华感 油漆 音效 透镜 动态 静音 经济 差距 口碑 扭矩 冷车 自重 费油 机油 动静 机械 低扭 胎压 照片 亮点 贴膜 智能 线路 平台 后劲 范围 卤素 图片 门槛 称号 燃油 格调 爆发力 颜值 顶灯 盲区 装备 故障率 尾门 传统 标志 经济性 远光 头顶 档次感 四驱 推背感 动力性 装潢 近光灯 门缝 净重 潮流 视频 颠簸感 板金 封闭性 前台 暖风 基因 胎噪 侧倾 典范 顿挫感 操控 脾气 导航 耐用性 节奏 潜力
轮胎	整体 位置 感觉 问题 异响 声音 外观 噪音 效果 质量 缝隙 油耗 舒适性 尺寸 间距 大小 方向 视觉 性能 宽度 性价比 品质 特点 垃圾 价格 品牌 螺丝 极限 寿命 规格 级别 型号 厂家 直径 质地 花纹 胎压 鼓包 胎噪
备胎	整体 位置
转向系统	整体 
方向盘	整体 位置 感觉 问题 异响 造型 外观 空间 情况 缝隙 按钮 材料 舒适性 高度 做工 颜色 尺寸 间距 塑料 距离 大小 样式 角度 方向 包裹 手感 质地 电子 塑料感 稳定性 行程 运动感 优点 重量 力度 速度 中央 控制键 形状 虚位 灵敏度 低速 操控性 皮革 模式 多媒体 指向性 转速 液压 直径 路感 触感 灵活性 方向感 动作 机械 皮套 扭力 操控
转向轴	整体 
转向器	整体 
转向拉杆	整体 
制动系统	整体 
行车制动系统	整体 
刹车	整体 位置 感觉 问题 异响 声音 造型 开关 效果 情况 系统 油耗 间距 时间 距离 方向 调校 总成 稳定性 性能 行程 力度 速度 感应 虚位 灵敏度 脚感 重量 线性 方式 初段 响声 反应 能力
制动盘	整体 异响
制动钳	整体 
刹车片	整体 异响 质量 材料
制动助力器	整体 
制动油管	整体 
驻车制动系统	整体 
手刹	整体 位置 感觉 问题 造型 外观 按钮 故障 拉杆
驻车制动拉索	整体 
驻车制动蹄片	整体 
紧急制动辅助系统	整体 
防抱死制动系统	整体 
车身	整体 感觉 问题 异响 声音 造型 外观 噪音 空间 质量 情况 系统 缝隙 材料 油耗 舒适性 高度 做工 动力 颜色 尺寸 间距 塑料 线条 时间 距离 大小 时尚 方向 长度 电子 结构 稳定性 宽度 动感 运动感 重量 比例 流线 数据 配件 轮廓 形状 表面 价格 细节 腰线 刚性 整体性 工艺 铁皮 重心 漆面 密封性 横向 控制器 接缝 参数 钣金 钢板 支撑性 通过性 安全性 曲线 状态 尾部 激光 框架 外壳 倾斜度 构造 弧度 肌肉感 动作 姿态 轴距 流线型 硬度 强度 油漆 动态 自重 弧线 骨架 金属 结合处 净重 颠簸感 板金 侧倾
车头	整体 位置 感觉 造型 外观 线条 距离 时尚 方向 长度 视觉 风格 动感 比例 轮廓 指向性 辨识度 回头率 方向感 层次感 机舱 标志
保险杠	整体 位置 感觉 造型 缝隙 材料 颜色 塑料 线条 护板 漆面 接缝 外壳
进气格栅	整体 造型
发动机盖	整体 开关 缝隙
翼子板	整体 
车标	整体 
车顶	整体 感觉 声音 造型 空间 材料 高度 颜色 线条 距离 流线 铁皮 边缘 曲线 激光 全景 弧度 内饰板 弧线 绒布
顶盖	整体 
行李架	整体 感觉 顶灯
车尾	整体 位置 感觉 问题 造型 外观 情况 线条 视觉 样式 比例 流线 腰线 层次 肌肉感 性感
尾翼	整体 感觉 面积 长度
后备厢	整体 位置 感觉 问题 异响 造型 开关 空间 缝隙 按钮 高度 动力 尺寸 间距 线条 大小 面积 长度 储物 后排 布局 宽度 深度 优点 感应 弹簧 味道 水平 横向 实用性 容量 盖板 液压 体积 拉线 照明 纵向 接缝 挡板 隔板 隔音棉 电源 门槛 尾门 门缝 线束 拉杆
后备厢盖	整体 
车门	整体 位置 感觉 异响 声音 开关 空间 缝隙 按钮 材料 做工 间距 塑料 包裹 储物 塑料感 面板 重量 织物 护板 铁皮 密封性 软质 隔音 钣金 钢板 厚度 厚重感 内饰板 内衬
门板	整体 位置 异响 造型 空间 材料 做工 塑料 包裹 储物 塑料感 织物 厚度 绒布
后视镜	整体 位置 感觉 造型 外观 效果 尺寸 面积 角度 方向 电子 视野 视线 记忆 范围 电调 盲区
铰链	整体 
门锁	整体 问题 开关
扶手	整体 位置 感觉 外观 空间 材料 高度 做工 长度 储物 后排 深度 杯架 组件
拉手	整体 位置
胶条	整体 问题 质量
车窗	整体 位置 问题 异响 声音 造型 噪音 开关 情况 按钮 面积 时尚 控制键 控制器 边缘 金属 升降键 隐私 封闭性
风窗	整体 
雨刮器	整体 异响 声音 噪音 电机
洗涤器	整体 
侧窗	整体 
后窗	整体 面积 视野 隐私
天窗	整体 位置 感觉 问题 异响 外观 造型 噪音 开关 空间 效果 情况 按钮 油耗 动力 尺寸 时间 大小 面积 时尚 后排 视野 车型 边缘 作用 头部 盖板 挡板 全景 隔板 版本 轨道
玻璃	整体 位置 感觉 问题 异响 声音 造型 噪音 开关 效果 质量 缝隙 按钮 颜色 间距 面积 角度 视野 视线 控制键 反光 控制器 倾斜度 贴膜 升降键 结合处 坡度
升降机	整体 位置 异响 开关 故障
车厢	整体 噪音 空间 材料 尺寸 储物 密封性 氛围
座椅	整体 位置 感觉 问题 异响 造型 外观 空间 效果 质量 情况 缝隙 材料 油耗 按钮 舒适性 高度 做工 动力 颜色 尺寸 间距 塑料 时间 距离 大小 面积 样式 角度 时尚 包裹 长度 手感 质地 结构 视觉 后排 风格 布局 宽度 温度 运动感 性价比 旋钮 比例 通病 中央 深度 织物 视线 形状 表面 弹簧 味道 横向 皮革 实用性 螺丝 边缘 组合 包裹性 接口 配色 档次 支撑性 头部 厚度 曲线 厂家 卡扣 触感 纵向 倾斜度 灵活性 弧度 功劳 记忆 腿部 后背 坐姿 面料 硬度 海绵 柔软度 支架 浅色 插口 缝线 皮套 电调 骨架 头顶 轨道 坡度
座垫	整体 位置 感觉 质量 舒适性 高度 角度 包裹 长度 宽度 包裹性 海绵
靠背	整体 角度
头枕	整体 位置 感觉 舒适性 高度 角度 包裹 包裹性
座套	整体 感觉
填充物	整体 感觉 柔软度
安全带	整体 位置 异响 情况 高度 接口 卡扣 插口
调节机构	整体 
中控台	整体 位置 感觉 异响 造型 空间 缝隙 按钮 材料 做工 颜色 塑料 面积 样式 包裹 储物 手感 质地 塑料感 科技感 风格 布局 科技 面板 旋钮 表面 细节 软质 层次 配色 层次感 杯架 软包 硬度 桃木 导航
内饰	整体 感觉 问题 异响 造型 外观 噪音 空间 效果 质量 情况 缝隙 按钮 材料 油耗 舒适性 做工 动力 颜色 塑料 线条 时间 样式 时尚 包裹 储物 手感 质地 结构 视觉 塑料感 后排 科技感 风格 布局 科技 面板 动感 运动感 性价比 品质 配件 特点 织物 车型 垃圾 表面 味道 价格 细节 整体性 工艺 灯光 水平 漆面 皮革 实用性 款式 软质 个性 层次 反光 作用 接缝 接口 异味 成本 配色 档次 氛围 优点 要求 卡扣 缺点 触感 深度 好坏 构造 层次感 气味 标准 面料 低调 豪华感 差距 设计感 浅色 照片 亮点 软包 图片 缝线 版本 格调 硬度 颜值 装备 传统 档次感 桃木 工作台 装潢 组件 潮流 前台 典范
塑料件	整体 感觉 异响 质量 缝隙 材料 做工 手感 质地
脚垫	整体 
遮阳板	整体 
安全气囊	整体 位置 外观 系统 故障 数量 安全性
储物格	整体 位置 感觉 空间 数量 容量
地板	整体 位置 中央 鼓包
电气设备	整体 
车灯	整体 位置 感觉 问题 造型 外观 开关 空间 效果 情况 系统 缝隙 按钮 高度 颜色 间距 线条 时间 样式 时尚 总成 科技感 旋钮 亮度 轮廓 感应 形状 灯光 灵敏度 个性 组合 辨识度 照明 透镜 设计感 线路 卤素 电源 远光 近光灯
前灯	整体 造型
前照灯	整体 位置 感觉 问题 造型 开关 系统 高度 总成 亮度 照明
灯泡	整体 
转向灯	整体 位置 声音 开关
雾灯	整体 位置 感觉 造型 开关
尾灯	整体 位置 感觉 造型 效果 缝隙 线条 面积 样式 质地 总成 流线 轮廓 形状 腰线 个性 辨识度 性感
制动灯	整体 位置 开关
倒车灯	整体 亮度
发电机	整体 噪音 皮带
电脑	整体 问题 造型 系统 油耗 故障 数据 信息 程序 主机
仪表盘	整体 位置 感觉 异响 造型 外观 空间 按钮 材料 油耗 做工 颜色 塑料 样式 时尚 手感 电子 总成 视觉 塑料感 科技感 风格 布局 科技 面板 动感 运动感 亮度 数据 中央 视线 灯光 信息 款式 软质 反光 组合 工作台 内容
车速表	整体 
指针	整体 
里程表	整体 
转速表	整体 
压力表	整体 
水温表	整体 
燃油表	整体 
空调	整体 位置 感觉 问题 异响 声音 外观 造型 噪音 开关 效果 情况 系统 按钮 油耗 舒适性 动力 时间 故障 后排 性能 面板 温度 旋钮 速度 控制键 怠速 模式 水温 控制器 异味 功率 档位 状态 皮带 车速 时速 效率 后背 控制区 暖风
压缩机	整体 问题 异响 声音 噪音 功率
风扇	整体 声音 噪音 电机
喇叭	整体 位置 问题 声音 外观 开关 效果 质量 系统 按钮 音质 数量 音量 音效
音响	整体 位置 感觉 问题 声音 外观 造型 效果 质量 情况 系统 按钮 旋钮 品质 垃圾 控制键 品牌 音质 多媒体 要求 音量 好坏 主机 控制区 音效
雷达	整体 位置 感觉 声音 外观 开关 系统 动力 距离 感应 影像 视频
显示屏	整体 位置 感觉 造型 尺寸 大小 科技感 亮度 信息 反光 多媒体 清晰度 内容
摄像头	整体 位置 造型 清晰度
传感器	整体 问题 故障
天线	整体 位置 信号
收音机	整体 位置 声音 造型 效果 面板 音质 级别 音量 信号 杂音
